,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Forsytheganj,82,BY,1584716677,44,52.63,29.73,46.69,6.29
373,Severo-Kuril'sk,100,RU,1584716678,97,50.68,156.12,32.45,20.42
374,Pueblo Nuevo,0,MX,1584716679,35,23.38,-105.38,66.85,2.28
375,Torbay,90,CA,1584716679,68,47.67,-52.73,34.0,9.17
376,Verkhoyansk,0,RU,1584716679,67,67.54,133.38,-7.13,5.75
377,Orlik,80,RU,1584716679,93,52.52,99.83,8.53,4.0
378,Anadyr,100,RU,1584716578,70,64.75,177.48,1.4,8.95
379,Pathein,0,MM,1584716680,81,16.78,94.73,75.65,9.01
380,Shelburne,90,CA,1584716680,100,44.08,-80.2,64.4,4.7
381,Kinsale,75,IE,1584716680,52,51.71,-8.53,46.4,23.04
382,Arrondissement de Niort,72,FR,1584716680,40,46.33,-0.33,71.01,9.17
383,Nha Trang,20,VN,1584716386,78,12.25,109.18,82.4,2.24
384,Antu,74,IN,1584716681,27,26.05,81.92,78.35,5.64
385,Silvânia,40,BR,1584716681,83,-16.66,-48.61,77.0,8.05
386,São Francisco,99,BR,1584716681,75,-15.95,-44.86,82.69,5.57
387,Port Blair,40,IN,1584716681,67,11.67,92.75,81.43,3.15
388,Banjar,20,ID,1584716681,89,-8.19,114.97,84.2,5.82
389,Corning,75,US,1584716626,93,42.14,-77.05,66.0,19.46
390,Hudson Bay,100,CA,1584716681,90,52.85,-102.38,6.35,4.03
391,Gachsaran,100,IR,1584716681,18,30.36,50.8,73.4,4.7
392,Tilichiki,67,RU,1584716681,91,60.47,166.1,2.75,2.08
393,Mandan,1,US,1584716681,56,46.83,-100.89,12.2,4.0
394,Port Hedland,22,AU,1584716682,79,-20.32,118.57,87.8,10.29
395,Nouadhibou,0,MR,1584716682,24,20.93,-17.03,80.6,12.75
396,Barentu,54,ER,1584716682,12,15.11,37.59,91.15,15.97
397,Mount Isa,0,AU,1584716562,64,-20.73,139.5,69.8,10.13
398,Eirunepé,67,BR,1584716682,65,-6.66,-69.87,86.29,4.09
399,San Andrés,40,CO,1584716503,78,12.58,-81.7,80.6,9.17
400,Lesnoy,0,RU,1584716682,85,57.62,63.08,31.03,7.54
401,Tabou,79,CI,1584716682,65,4.42,-7.35,88.09,7.49
402,Gizo Government Station,98,SB,1584716682,86,-8.1,156.84,76.93,4.63
403,Najrān,75,SA,1584716683,42,17.49,44.13,86.0,17.22
404,Poya,65,NC,1584716683,72,-21.35,165.15,76.03,7.49
405,Sabang,9,ID,1584716683,70,5.89,95.32,83.41,9.37
406,Bay Roberts,90,CA,1584716683,68,47.6,-53.26,34.0,9.17
407,Jalu,0,LY,1584716683,22,29.03,21.55,70.09,14.34
408,General Bravo,33,MX,1584716683,70,25.8,-99.17,78.55,16.35
409,Elliot Lake,90,CA,1584716683,84,46.38,-82.63,32.0,20.8
410,Kisesa,82,TZ,1584716683,65,-3.08,34.15,78.55,6.02
411,Mugur-Aksy,33,RU,1584716683,60,50.35,90.5,8.35,5.57
412,Kongsberg,0,NO,1584716683,35,59.67,9.65,45.0,11.41
413,Saint-Pierre,90,RE,1584716684,65,-21.34,55.48,78.8,9.17
414,Mamou,65,GN,1584716684,11,10.5,-12.0,103.03,3.76
415,Clarence Town,90,AU,1584716684,88,-32.58,151.78,72.0,12.75
416,Darhan,24,MN,1584716684,60,49.49,105.92,28.85,2.08
417,Alexandria,71,EG,1584716526,66,31.22,29.96,54.95,15.28
418,Oktyabr'skiy,71,RU,1584716684,97,54.48,53.47,29.95,4.61
419,Vlasenica,35,BA,1584716684,38,44.18,18.94,71.6,6.93
420,Mana,89,GF,1584716684,57,5.66,-53.78,86.29,5.35
421,Nelson Bay,90,AU,1584716684,88,-32.72,152.15,72.0,12.75
422,Mahibadhoo,100,MV,1584716521,74,3.78,72.97,84.49,10.25
423,Lebedinyy,100,RU,1584716684,98,58.52,125.52,6.01,1.83
424,Ippy,91,CF,1584716684,16,6.27,21.22,99.43,8.72
425,Palizada,20,MX,1584716684,78,18.25,-92.08,78.8,17.22
426,Karratha,100,AU,1584716685,69,-20.74,116.85,87.35,10.0
427,Misratah,0,LY,1584716685,72,32.38,15.09,59.83,25.08
428,Rāwah,34,IQ,1584716685,37,34.48,41.91,60.19,11.1
429,Sumbe,75,AO,1584716685,68,-11.21,13.84,84.2,8.05
430,Puerto Lempira,40,HN,1584716685,74,15.27,-83.77,82.4,12.62
431,Surab,0,PK,1584716500,38,28.49,66.26,58.75,8.41
432,Provideniya,100,RU,1584716685,96,64.38,-173.3,21.13,14.63
433,Los Llanos de Aridane,20,ES,1584716685,60,28.66,-17.92,69.8,6.93
434,Desaguadero,84,PE,1584716685,66,-16.57,-69.04,51.55,8.95
435,Coihueco,0,CL,1584716685,67,-36.62,-71.83,59.0,5.82
436,Tahe,100,CN,1584716685,96,52.33,124.73,20.75,3.15
437,Buenavista,50,PH,1584716686,83,8.98,125.41,73.69,4.83
438,Benguela,70,AO,1584716686,73,-12.58,13.41,80.35,7.07
439,Weiser,90,US,1584716686,64,44.25,-116.97,41.0,6.93
440,Mandalgovi,0,MN,1584716686,45,45.76,106.27,26.53,8.32
441,Pitimbu,75,BR,1584716686,66,-7.47,-34.81,87.8,9.17
442,Viganello,40,CH,1584716686,51,46.01,8.97,66.0,8.05
443,Mpika,99,ZM,1584716686,87,-11.83,31.45,70.09,7.52
444,Carupano,20,VE,1584716686,47,10.67,-63.26,86.45,5.86
445,Jieshi,100,CN,1584716686,88,22.81,115.83,69.01,3.36
446,Palora,40,EC,1584716687,78,-1.7,-77.93,82.4,2.24
447,Juradó,0,CO,1584716687,78,7.11,-77.76,77.65,1.48
448,Viedma,0,AR,1584716646,22,-40.81,-63.0,79.09,15.77
449,Touros,40,BR,1584716687,62,-5.2,-35.46,87.8,10.29
450,Tiznit Province,100,MA,1584716687,76,29.58,-9.5,57.65,14.58
451,Talaya,0,RU,1584716687,81,61.38,152.75,-12.35,3.49
452,Havelock,40,US,1584716687,78,34.88,-76.9,77.0,16.11
453,Kismayo,0,SO,1584716626,72,-0.36,42.55,83.75,12.08
454,Natal,40,BR,1584716647,62,-5.79,-35.21,87.8,9.17
455,Mabaruma,71,GY,1584716585,52,8.2,-59.78,87.19,5.61
456,Sandwick,75,GB,1584716688,60,60.0,-1.25,41.0,10.29
457,Vaitape,100,PF,1584716688,69,-16.52,-151.75,83.23,7.83
458,Médéa,20,DZ,1584716688,68,36.26,2.75,68.0,14.99
459,Eydhafushi,100,MV,1584716688,75,5.1,73.07,83.95,10.09
460,Alto Araguaia,100,BR,1584716688,83,-17.31,-53.22,77.65,11.36
461,Lianhe,64,CN,1584716688,84,47.13,129.27,26.35,2.44
462,Prabumulih,100,ID,1584716688,95,-3.45,104.25,74.95,1.21
463,Souillac,75,MU,1584716688,61,-20.52,57.52,80.6,3.36
464,Rabo de Peixe,20,PT,1584716689,51,37.8,-25.58,59.0,3.36
465,Pringsewu,100,ID,1584716689,98,-5.36,104.97,72.05,1.9
466,Saint-Paul,90,RE,1584716689,69,-21.01,55.27,78.8,4.7
467,Erenhot,100,CN,1584716689,42,43.65,111.98,39.49,5.5
468,Murgab,90,TM,1584716689,63,37.5,61.97,60.8,13.87
469,Emerald,0,AU,1584716690,68,-23.53,148.17,69.8,4.7
470,Shingū,0,JP,1584716690,61,33.73,135.98,51.91,12.01
471,San Luis,0,AR,1584716636,30,-33.3,-66.34,86.11,17.78
472,Mayo,90,US,1584716690,68,38.89,-76.51,75.0,12.75
473,‘Ewa Beach,20,US,1584716690,88,21.32,-158.01,71.6,4.32
474,Yangambi,81,CD,1584716691,46,0.81,24.43,91.85,1.57
475,Bulanash,44,RU,1584716691,87,57.28,62.0,30.49,5.77
476,Deputatsky,86,RU,1584716691,90,69.3,139.9,-3.89,7.47
477,Hauterive,24,FR,1584716691,32,46.09,3.45,69.8,8.05
478,Invermere,41,CA,1584716691,88,50.52,-116.04,21.0,0.67
479,Krieglach,20,AT,1584716691,30,47.53,15.55,71.01,4.7
480,Muroto-misakicho,0,JP,1584716691,56,33.28,134.15,44.35,4.12
481,Isangel,92,VU,1584716691,83,-19.55,169.27,77.11,19.66
482,Vardø,20,NO,1584716691,72,70.37,31.11,17.6,12.75
483,Cubatão,75,BR,1584716691,78,-23.89,-46.43,82.4,2.24
484,Jurm,100,AF,1584716691,36,36.86,70.83,46.51,4.81
485,Mukhen,96,RU,1584716692,93,48.1,136.1,18.95,1.77
486,Baruun-Urt,25,MN,1584716692,52,46.68,113.28,19.33,1.92
487,Itarantim,100,BR,1584716692,70,-15.66,-40.07,83.95,3.6
488,Koumac,62,NC,1584716692,89,-20.57,164.28,68.83,3.62
489,Oranjestad,75,AW,1584716684,62,12.52,-70.03,84.2,20.8
490,Esil,100,KZ,1584716692,91,51.96,66.4,31.75,9.95
491,Guider,37,CM,1584716692,7,9.93,13.95,105.55,7.61
492,Bilma,95,NE,1584716692,7,18.69,12.92,97.45,10.0
493,Great Falls,20,US,1584716693,78,47.5,-111.3,19.99,3.36
494,Jiwani,33,PK,1584716693,81,25.05,61.74,76.03,17.22
495,Baie-Saint-Paul,100,CA,1584716693,95,47.44,-70.5,37.0,3.22
496,Santa Maria,100,BR,1584716693,60,-29.68,-53.81,69.73,5.44
497,Nantucket,90,US,1584716508,100,41.28,-70.1,50.0,6.93
498,Puerto Escondido,5,MX,1584716694,94,15.85,-97.07,77.0,5.82
499,Kiunga,58,PG,1584716694,91,-6.12,141.29,72.43,0.69
500,Rosignol,41,GY,1584716465,79,6.28,-57.53,79.99,15.3
501,Ialibu,97,PG,1584716400,98,-6.28,143.99,60.73,1.32
502,Kawalu,100,ID,1584716695,95,-7.38,108.21,71.35,2.33
503,Pomezia,16,IT,1584716695,45,41.67,12.51,68.0,6.93
504,Suntar,97,RU,1584716695,92,62.14,117.63,19.15,6.85
505,Lukulu,49,ZM,1584716695,67,-14.37,23.24,78.01,3.06
506,Newark,90,US,1584716506,81,40.74,-74.17,62.6,6.93
507,Lewistown,90,US,1584716695,100,40.6,-77.57,64.0,9.8
508,Quatre Cocos,75,MU,1584716695,61,-20.21,57.76,80.6,3.36
509,Ola,0,RU,1584716696,92,59.58,151.28,-3.89,4.25
510,Taguing,6,PH,1584716696,92,17.94,121.76,68.83,3.67
511,Lucapa,100,AO,1584716696,75,-8.42,20.74,81.25,3.67
512,Shimanovsk,100,RU,1584716696,93,52.0,127.7,21.65,4.65
513,Ahipara,11,NZ,1584716696,80,-35.17,173.17,65.95,10.47
514,Novyy Urgal,2,RU,1584716696,91,51.07,132.56,14.83,1.92
515,Āgaro,11,ET,1584716696,48,7.85,36.65,76.39,1.7
516,Aras,20,ES,1584716696,62,42.56,-2.36,62.01,18.34
517,Brandon,20,US,1584716405,65,27.94,-82.29,81.0,8.05
518,Kavaratti,81,IN,1584716696,71,10.57,72.64,83.95,10.22
519,Chicama,40,PE,1584716696,78,-7.84,-79.15,75.2,3.36
520,Davila,41,PH,1584716696,82,18.47,120.58,78.01,19.62
521,Liuzhou,100,CN,1584716697,89,24.31,109.39,72.25,4.16
522,São João da Barra,48,BR,1584716697,58,-21.64,-41.05,93.2,9.17
523,Dapaong,100,TG,1584716697,24,10.86,0.2,101.59,9.6
524,Itupiranga,75,BR,1584716697,88,-5.13,-49.33,78.8,4.7
525,Luangwa,51,ZM,1584716697,59,-15.62,30.42,81.43,5.26
526,Fuyu,21,CN,1584716697,57,45.18,124.82,34.99,7.78
527,Khomutovka,0,RU,1584716697,51,51.92,34.56,45.05,9.69
528,Bemidji,1,US,1584716697,55,47.47,-94.88,12.0,10.29
529,Nicoya,0,CR,1584716402,51,10.15,-85.45,86.0,18.34
530,Towada,40,JP,1584716697,48,40.61,141.21,42.01,29.97
531,Farmington,1,US,1584716442,63,36.73,-108.22,32.0,5.82
532,Boké,92,GN,1584716698,12,10.94,-14.3,109.15,2.48
533,Broome,90,US,1584716698,100,42.25,-75.83,61.0,11.41
534,Pundaguitan,0,PH,1584716698,74,6.37,126.17,81.43,10.07
535,Kyshtovka,100,RU,1584716698,85,56.55,76.63,30.85,15.73
536,Sangar,100,RU,1584716698,95,63.92,127.47,10.51,7.4
537,Peniche,20,PT,1584716698,76,39.36,-9.38,59.0,4.7
538,Itarema,40,BR,1584716698,74,-2.92,-39.92,87.8,5.82
539,Abhā,75,SA,1584716410,88,18.22,42.51,64.4,11.41
540,Mali,97,GN,1584716698,10,12.08,-12.3,101.41,5.23
541,Laguna,1,US,1584716699,87,38.42,-121.42,46.99,3.58
542,Nyaunglebin,0,MM,1584716699,63,17.95,96.73,77.11,6.51
543,Hualmay,96,PE,1584716699,70,-11.1,-77.61,75.31,5.75
544,Nyuksenitsa,100,RU,1584716699,83,60.41,44.24,29.59,11.54
545,Sawākin,0,SD,1584716699,57,19.11,37.33,80.6,13.87
546,Popondetta,74,PG,1584716699,93,-8.75,148.25,72.61,3.91
547,Marzuq,0,YE,1584716699,46,14.4,46.47,79.09,10.02
548,Honiara,40,SB,1584716685,100,-9.43,159.95,77.0,3.04
549,Pontianak,100,ID,1584716699,96,-0.03,109.33,73.51,1.83
550,Arthur,90,US,1584716699,87,39.71,-88.47,48.2,20.8
551,Msowero,40,TZ,1584716699,59,-6.53,37.2,89.6,13.87
552,Bento Gonçalves,40,BR,1584716700,68,-29.17,-51.52,73.0,6.93
553,Port Hardy,20,CA,1584716700,100,50.7,-127.42,28.4,3.36
554,Havre-St-Pierre,90,CA,1584716700,92,50.23,-63.6,30.2,19.46
555,Mill Valley,1,US,1584716700,93,37.91,-122.55,50.0,6.93
556,Pakxan,70,LA,1584716700,75,18.38,103.66,74.75,2.51
557,Russell,90,US,1584716700,93,32.35,-85.2,75.0,8.05
558,Killarney,87,IE,1584716573,65,52.05,-9.52,46.4,12.75
559,Asău,92,RO,1584716700,34,46.43,26.4,66.2,2.24
560,Arrondissement de Saint-Jean-de-Maurienne,10,FR,1584716700,49,45.17,6.58,55.99,5.01
561,Ust'-Ishim,100,RU,1584716700,94,57.69,71.17,33.91,10.85
562,Fernie,5,CA,1584716700,78,49.5,-115.07,19.4,4.7
563,Kelvington,100,CA,1584716577,96,52.17,-103.53,-1.01,3.98
564,Vera Cruz,75,BR,1584716701,78,-12.63,-41.03,80.6,5.82
565,Trairi,100,BR,1584716701,66,-3.28,-39.27,86.45,4.09
566,Atar,0,MR,1584716701,12,20.52,-13.05,83.23,12.62
567,Al Bardīyah,7,LY,1584716701,53,31.76,25.09,57.65,11.88
568,Salalah,40,OM,1584716701,69,17.02,54.09,82.4,11.41
569,Mindelo,75,CV,1584716701,53,16.89,-24.98,75.2,20.8
570,Akureyri,75,IS,1584716701,60,65.68,-18.09,41.0,35.57
